train_loss,train_accuracy,train_mean_iou,train_mean_dice,train_iou_Class_0,train_dice_Class_0,train_iou_Class_1,train_dice_Class_1,val_loss,val_accuracy,val_mean_iou,val_mean_dice,val_iou_Class_0,val_dice_Class_0,val_iou_Class_1,val_dice_Class_1
0.06349557049052659,0.9336192996002907,0.5603644102186229,0.6409106338027195,0.9325821639557105,0.9651151514788405,0.1881466564815355,0.31670611612659855,0.058184079148552635,0.958740234375,0.48137579053092805,0.493468124180983,0.9587333651498288,0.9789319794187431,0.0040182159120273715,0.00800426894322294
0.056264888408572175,0.9395326126453488,0.6318197511712089,0.7297385499268931,0.937711466646117,0.9678545880405534,0.32592803569630074,0.491622511813233,0.05125305598432368,0.9735551313920454,0.7839842937522753,0.8662562204147042,0.9724839499319056,0.9860500512214336,0.595484637572645,0.7464623896079746
0.050559681168822354,0.9516658339389535,0.6716336102914575,0.7694160269216075,0.9501033042710968,0.974413306402989,0.3931639163118182,0.5644187474402261,0.04478580436923287,0.9664195667613636,0.7547491165705855,0.8436322279516228,0.9650153188034395,0.9821962297892599,0.5444829143377317,0.7050682261139857
0.04571071336435717,0.965831667877907,0.7238694754810847,0.8167243687891883,0.964704847364897,0.982035391889809,0.4830341035972724,0.6514133456885675,0.04222999648614363,0.9797585227272727,0.8167809408881803,0.8903100718249433,0.9789510126351867,0.9893635632057489,0.6546108691411738,0.7912565804441375
0.041420873167902925,0.9789755178052325,0.7976309308432323,0.876079537909639,0.978238384597919,0.9889994979515555,0.6170234770885458,0.7631595778677225,0.03961374001069502,0.9778608842329546,0.8101538880135811,0.8856612516594232,0.9769398818663357,0.9883354479591487,0.6433678941608265,0.7829870553596977
0.0389118246560873,0.9810223246729651,0.8092038086239035,0.8845577955523712,0.9803654926099707,0.990085412282077,0.6380421246378362,0.7790301788226655,0.037695961919697846,0.9889359907670454,0.8789159318495741,0.9319224713182791,0.9885121043462863,0.9942228686319763,0.7693197593528617,0.8696220740045819
0.03666471326073935,0.9829186727834303,0.8218908467368445,0.8936599559260097,0.9823289280467012,0.9910857014175185,0.6614527654269878,0.7962342104345008,0.034665885296734894,0.9852294921875,0.8545032727797981,0.9162077557850166,0.9846329692648017,0.9922569911045613,0.7243735762947945,0.8401585204654718
0.03572118316971978,0.979969113372093,0.7969514366491735,0.8754224880184757,0.9793081606077996,0.9895459232655078,0.6145947126905473,0.7612990527714435,0.03324457528916272,0.9839200106534091,0.8440529032554072,0.9092147540915421,0.9832779393424464,0.9915684734217849,0.7048278671683678,0.8268610347612992
0.03338471366915592,0.9826745321584303,0.8178605831641372,0.8907523875003724,0.982088930236638,0.9909635387746081,0.6536322360916366,0.7905412362261367,0.0314128425988284,0.9891690340909091,0.8867306705302513,0.9368584908840072,0.9887238024805454,0.9943299328416597,0.7847375385799573,0.8793870489263546
0.031542709920295446,0.9845538472020349,0.8380637125238515,0.9049958722266727,0.983998188362885,0.9919345633826818,0.6921292366848179,0.8180571810706636,0.030871513892303814,0.9888472123579546,0.879532826033397,0.9323228648925045,0.9884129820706884,0.994172730698406,0.7706526699961056,0.870472999086603
0.029646350374055462,0.9864246457122093,0.8521726680493904,0.914525439736526,0.9859376102756646,0.9929190173691391,0.7184077258231162,0.8361318621039129,0.029347053305669266,0.9866055575284091,0.8624959570329649,0.9214235226151134,0.9860777890548744,0.9929900978592834,0.7389141250110554,0.8498569473709434
0.028418684421583663,0.9863309638444767,0.8516262808782217,0.9141635211881685,0.9858395680403651,0.9928692971035881,0.7174129937160783,0.835457745272749,0.02796741845932874,0.9907004616477273,0.8989060391847141,0.9443152993018834,0.990322990402681,0.9951379702470496,0.8074890879667473,0.8934926283567172
0.027908304402994556,0.9856723519258721,0.8437941475909256,0.9088650241905214,0.9851708423558042,0.9925300345301274,0.7024174528260471,0.8252000138509153,0.027375719764015892,0.9862060546875,0.8610690003934779,0.9205113596107045,0.9856529467427854,0.9927746420739086,0.7364850540441704,0.8482480771475004
0.026753608570542445,0.984973996184593,0.8392008827361774,0.9057470264448579,0.9844439742072145,0.9921610153801393,0.6939577912651405,0.8193330375095766,0.026991503482515163,0.9874711470170454,0.875865367457904,0.9300741816918698,0.9869390682650745,0.9934266068126941,0.7647916666507335,0.8667217565710456
0.02543259827896606,0.9864899391351745,0.8537989548782741,0.9156196296197425,0.9859996881625478,0.9929504964573256,0.7215982215940002,0.8382887627821595,0.02517572519454089,0.9893022017045454,0.8859023147474124,0.9363286930214119,0.9888728573890588,0.9944053021943552,0.782931772105766,0.8782520838484686
0.024455549411995466,0.987316042877907,0.8593610951027717,0.919280031756299,0.9868611807878626,0.9933871478595563,0.7318610094176807,0.8451729156530419,0.024909604002128948,0.9898459694602273,0.892910596451163,0.9406720665981969,0.9894259993285921,0.9946848987220552,0.796395193573734,0.8866592344743385
0.02413594930670982,0.9861975381540697,0.8468450735435313,0.910914026748037,0.9857196984157189,0.9928085008192876,0.7079704486713437,0.8290195526767864,0.023537344553253868,0.9878151633522727,0.8759967403147282,0.9301331907681889,0.9873128119788924,0.9936159079010445,0.764680668650564,0.8666504736353333
0.022875051165735998,0.9867738235828488,0.8574785831211607,0.9180687501590588,0.9862867335402579,0.9930960287715861,0.7286704327020636,0.8430414715465315,0.022933088920333168,0.9918212890625,0.9094036637063408,0.9506131915186854,0.9914877398031999,0.9957256778303635,0.8273195876094818,0.9055007052070073
0.02237602375274481,0.9875999273255814,0.861247180927582,0.920511635668313,0.9871574738324747,0.993537237820032,0.7353368880226894,0.8474860335165939,0.02222720601341941,0.9910444779829546,0.9054051359410582,0.9482487002465614,0.990663180302445,0.9953096938799378,0.8201470915796714,0.9011877066131849
0.021499150887478228,0.9884203533793605,0.8711943862799374,0.9269832850418476,0.9879933005027601,0.9939603923744595,0.7543954720571147,0.8600061777092356,0.021873634647239338,0.9891690340909091,0.8897669201812106,0.9387594627515489,0.9887065793420787,0.9943212232637871,0.7908272610203424,0.8831977022393106
0.021468325236509014,0.9879689771075582,0.8658999364801765,0.9235569766196042,0.9875324339110185,0.9937271131397599,0.7442674390493346,0.8533868400994485,0.021955441344868053,0.9896351207386364,0.8917606841456232,0.939971404439184,0.9892029362453162,0.9945721657866323,0.79431843204593,0.8853706430917357
0.020713526668936708,0.9884373864462209,0.8701261243627649,0.9262865883905596,0.9880167112886558,0.9939722394468321,0.7522355374368742,0.8586009373342871,0.021157407625155014,0.9911887428977273,0.9049784515775483,0.9479830538739352,0.9908225068184026,0.9953900997451228,0.819134396336694,0.9005760080027476
0.02019727489975996,0.9889994776526163,0.8760560119844731,0.9300837599323621,0.9885943869664047,0.9942644849506014,0.7635176370025417,0.8659030349141229,0.019892702725800602,0.9919100674715909,0.9105858279282606,0.9513161271766566,0.9915783879937253,0.9957713881326266,0.8295932678627959,0.9068608662206866
0.019624304719442546,0.9899646847747093,0.8850413401827986,0.9357413742981415,0.9895933609466981,0.9947694643249362,0.7804893194188991,0.8767132842713469,0.02044386687603864,0.9885697798295454,0.8837423919259682,0.9350159060841243,0.9880887675910538,0.9940087019236173,0.7793960162608825,0.8760231102446313
0.019626551675935123,0.9887553370276163,0.8739290083103346,0.9287303557085244,0.9883412902577253,0.9941364644996316,0.7595167263629439,0.8633242469174172,0.018896219066598198,0.9924094460227273,0.912943927586952,0.9526974100976033,0.9921089973569847,0.9960388700349807,0.8337788578169192,0.9093559501602259
0.01866484979210898,0.9900441724200582,0.8846198016446338,0.9354697798635406,0.9896808629585088,0.9948136722659394,0.7795587403307589,0.8761258874611418,0.0196471322666515,0.9905007102272727,0.8986788766999549,0.9441878008656018,0.9901071341881839,0.9950289782686239,0.807250619211726,0.8933466234625798
0.0189952926580296,0.9888405023619186,0.8731005994040674,0.9281879299409612,0.9884368409128782,0.9941847994116759,0.7577643578952565,0.8621910604702464,0.0188397230072455,0.9918101917613636,0.9075911972166215,0.9495255952101238,0.9914843533635749,0.9957239701019782,0.823698041069668,0.9033272203182693
0.018864058391299357,0.9886730105377907,0.8713102659441395,0.9270390604748242,0.9882648094278614,0.994097772833632,0.7543557224604176,0.8599803481160163,0.019620835781097412,0.9906005859375,0.9010739667960076,0.9456455418681954,0.9902029957770051,0.9950773844458163,0.8119449378150101,0.8962136992905745
0.01810007074544596,0.9900839162427325,0.8867147549163987,0.9367876669447419,0.9897143395590123,0.9948305843524918,0.783715170273785,0.8787447495369919,0.019265070896257053,0.9906227805397727,0.8958320395590194,0.9424308836599788,0.9902539733789414,0.9951031241482652,0.8014101057390973,0.8897586431716926
0.01796354266793229,0.9900668831758721,0.8869667911986167,0.9369472548437614,0.9896948206088892,0.99482072361833,0.7842387617883441,0.8790737860691927,0.018907100639560005,0.9916215376420454,0.9088948668589034,0.9503184856805691,0.9912731896191512,0.9956174720644344,0.8265165440986555,0.9050194992967038
